ID,Date,Time,Temp,humidity,Noise,Light,CO,Volts
8,28/6/2015,19:43:48,30.7,63,34,26,0.4,8.1
8,28/6/2015,19:43:58,30.8,63,38,7,0.4,8.1
8,28/6/2015,19:44:08,30.8,63,42,7,0.4,8.1
8,28/6/2015,19:44:18,30.9,63,36,7,0.4,8.1
8,28/6/2015,19:44:28,30.9,63,43,6,0.4,8.09
8,28/6/2015,19:44:38,30.9,63,61,6,0.4,8.08
8,28/6/2015,19:44:48,30.9,63,39,6,0.4,8.08
8,28/6/2015,19:44:58,30.9,63,36,6,0.4,8.08
8,28/6/2015,19:45:08,30.9,63,35,6,0.4,8.08
8,28/6/2015,19:45:18,31,63,37,6,0.4,8.07
8,28/6/2015,19:45:28,31,63,57,6,0.4,8.07
8,28/6/2015,19:45:38,31,64,49,7,0.4,8.07
8,28/6/2015,19:45:48,31,64,37,7,0.4,8.07
8,28/6/2015,19:45:58,31.1,64,35,7,0.4,8.06
8,28/6/2015,19:46:08,31.1,64,66,7,0.4,8.06
8,28/6/2015,19:46:18,31.1,64,43,7,0.4,8.06
8,28/6/2015,19:46:28,31.1,63,34,7,0.4,8.06
8,28/6/2015,19:46:38,31.1,63,33,7,0.4,8.05
8,28/6/2015,19:46:48,31.2,63,32,7,0.4,8.05
8,28/6/2015,19:46:58,31.2,63,52,7,0.4,8.04
8,28/6/2015,19:47:08,31.2,63,75,7,0.4,8.04
8,28/6/2015,19:47:18,31.3,63,62,7,0.4,8.03
8,28/6/2015,19:47:28,31.3,63,33,7,0.4,8.03
8,28/6/2015,19:47:38,31.4,63,32,7,0.4,8.03
8,28/6/2015,19:47:48,31.4,62,32,7,0.4,8.03
8,28/6/2015,19:47:58,31.5,62,33,7,0.4,8.02
8,28/6/2015,19:48:08,31.4,62,32,7,0.4,8.02
8,28/6/2015,19:48:18,31.5,62,31,7,0.4,8.02
8,28/6/2015,19:48:28,31.5,62,31,7,0.4,8.01
8,28/6/2015,19:48:38,31.5,62,31,7,0.4,8.01
8,28/6/2015,19:48:48,31.5,62,31,7,0.4,8.04
8,28/6/2015,19:48:58,31.6,61,31,7,0.4,7.69
8,28/6/2015,19:49:08,31.6,61,31,7,0.4,7.66
8,28/6/2015,19:49:18,31.6,61,32,7,0.4,7.65
8,28/6/2015,19:49:28,31.7,61,31,7,0.4,7.63
8,28/6/2015,19:49:38,31.7,61,31,7,0.4,7.62
8,28/6/2015,19:49:48,31.7,61,32,7,0.4,7.61
8,28/6/2015,19:49:58,31.7,61,31,7,0.4,7.56
8,28/6/2015,19:50:08,31.8,62,34,7,0.4,7.88
8,28/6/2015,19:50:18,31.8,62,33,7,0.4,7.89
8,28/6/2015,19:50:28,31.8,62,30,7,0.4,7.89
8,28/6/2015,19:50:38,32,62,30,7,0.4,7.89
8,28/6/2015,19:50:48,31.9,62,30,7,0.4,7.9
8,28/6/2015,19:50:58,32,62,30,7,0.4,7.9
8,28/6/2015,19:51:08,32,62,30,7,0.4,7.9
8,28/6/2015,19:51:18,32.1,62,31,7,0.4,7.9
8,28/6/2015,19:51:28,32.1,62,31,7,0.4,7.89
8,28/6/2015,19:51:38,32.2,61,34,7,3.69,7.89
8,28/6/2015,19:51:48,32.1,61,31,7,3.69,7.89
